| pubname           | tablename                 |
| ----------------- | ------------------------- |
| supabase_realtime | achievements              |
| supabase_realtime | acoin_transactions        |
| supabase_realtime | activity_rewards          |
| supabase_realtime | ad_campaigns              |
| supabase_realtime | ad_clicks                 |
| supabase_realtime | ad_impressions            |
| supabase_realtime | advanced_feature_settings |
| supabase_realtime | affiliate_requests        |
| supabase_realtime | afumail_aliases           |
| supabase_realtime | afumail_emails            |
| supabase_realtime | afumail_mailboxes         |
| supabase_realtime | afumail_recipients        |
| supabase_realtime | afumail_user_emails       |
| supabase_realtime | ai_memories               |
| supabase_realtime | blocked_users             |
| supabase_realtime | blog_articles             |
| supabase_realtime | calls                     |
| supabase_realtime | channel_subscriptions     |
| supabase_realtime | channels                  |
| supabase_realtime | chat_drafts               |
| supabase_realtime | chat_folder_assignments   |
| supabase_realtime | chat_folders              |
| supabase_realtime | chat_label_assignments    |
| supabase_realtime | chat_labels               |
| supabase_realtime | chat_media                |
| supabase_realtime | chat_members              |
| supabase_realtime | chat_messages             |
| supabase_realtime | chat_preferences          |
| supabase_realtime | chat_themes               |
| supabase_realtime | chat_wallpapers           |
| supabase_realtime | chats                     |
| supabase_realtime | collection_items          |
| supabase_realtime | collections               |
| supabase_realtime | community_members         |
| supabase_realtime | conversations             |
| supabase_realtime | creator_earnings          |
| supabase_realtime | creator_monetize_settings |
| supabase_realtime | creator_withdrawals       |
| supabase_realtime | currency_settings         |
| supabase_realtime | developer_applications    |
| supabase_realtime | developer_roles           |
| supabase_realtime | developer_showcase        |
| supabase_realtime | device_sessions           |
| supabase_realtime | digital_events            |
| supabase_realtime | engagera_api_keys         |
| supabase_realtime | engagera_api_logs         |
| supabase_realtime | engagera_messages         |
| supabase_realtime | engagera_request_logs     |
| supabase_realtime | engagera_usage_records    |
| supabase_realtime | event_tickets             |
| supabase_realtime | follow_requests           |
| supabase_realtime | follows                   |
| supabase_realtime | freelance_listings        |
| supabase_realtime | freelance_orders          |
| supabase_realtime | game_challenges           |
| supabase_realtime | game_rooms                |
| supabase_realtime | game_scores               |
| supabase_realtime | game_sessions             |
| supabase_realtime | gift_marketplace          |
| supabase_realtime | gift_statistics           |
| supabase_realtime | gift_transactions         |
| supabase_realtime | gifts                     |
| supabase_realtime | linked_accounts           |
| supabase_realtime | login_history             |
| supabase_realtime | marketplace_listings      |
| supabase_realtime | merchant_customer_chats   |
| supabase_realtime | merchant_order_items      |
| supabase_realtime | merchant_orders           |
| supabase_realtime | merchant_products         |
| supabase_realtime | merchant_wallet           |
| supabase_realtime | merchants                 |
| supabase_realtime | message_reactions         |
| supabase_realtime | message_reports           |
| supabase_realtime | message_status            |
| supabase_realtime | message_views             |
| supabase_realtime | messages                  |
| supabase_realtime | mini_program_listings     |
| supabase_realtime | mini_program_orders       |
| supabase_realtime | mini_programs             |
| supabase_realtime | music_short_comments      |
| supabase_realtime | music_short_likes         |
| supabase_realtime | music_shorts              |
| supabase_realtime | music_tracks              |
| supabase_realtime | paid_communities          |
| supabase_realtime | pesapal_transactions      |
| supabase_realtime | pinned_gifts              |
| supabase_realtime | pinned_media              |
| supabase_realtime | post_acknowledgments      |
| supabase_realtime | post_ai_summaries         |
| supabase_realtime | post_bookmarks            |
| supabase_realtime | post_images               |
| supabase_realtime | post_link_previews        |
| supabase_realtime | post_replies              |
| supabase_realtime | post_views                |
| supabase_realtime | posts                     |
| supabase_realtime | prestige_tiers            |
| supabase_realtime | profile_views             |
| supabase_realtime | profiles                  |
| supabase_realtime | push_subscriptions        |
| supabase_realtime | red_envelope_claims       |
| supabase_realtime | red_envelopes             |
| supabase_realtime | referrals                 |
| supabase_realtime | security_alerts           |
| supabase_realtime | security_preferences      |
| supabase_realtime | shop_order_items          |
| supabase_realtime | shop_order_messages       |
| supabase_realtime | shop_orders               |
| supabase_realtime | shopping_cart             |
| supabase_realtime | status_goods_purchases    |
| supabase_realtime | stories                   |
| supabase_realtime | story_likes               |
| supabase_realtime | story_views               |
| supabase_realtime | subscription_plans        |
| supabase_realtime | support_messages          |
| supabase_realtime | support_tickets           |
| supabase_realtime | supported_languages       |
| supabase_realtime | telegram_users            |
| supabase_realtime | tips                      |
| supabase_realtime | typing_indicators         |
| supabase_realtime | user_achievements         |
| supabase_realtime | user_activity_log         |
| supabase_realtime | user_gifts                |
| supabase_realtime | user_mini_programs        |
| supabase_realtime | user_product_listings     |
| supabase_realtime | user_reports              |
| supabase_realtime | user_roles                |
| supabase_realtime | user_subscriptions        |
| supabase_realtime | username_listings         |
| supabase_realtime | verification_requests     |
| supabase_realtime | withdrawal_requests       |
| supabase_realtime | xp_transfers              |
